Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
1,Faye Abbott,2,1928-1929,13,0,13,0,.000,-13,0,0,0,0,,11.0,10,0,0,0
2,Dave Adolph,12,1985-1996,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
3,Frankie Albert,3,1956-1958,36,19,16,1,.543,3,1,1,0,1,.000,2.7,1,0,0,0
4,Doc Alexander,2,1922-1926,18,8,8,2,.500,0,0,0,0,0,,10.5,6,0,0,0
5,Dennis Allen,1,2011,0,0,0,0,,0,0,0,0,0,,1.0,1,0,0,0
6,George Allen,12,1966-1977,168,116,47,5,.712,69,7,9,2,7,.222,1.8,1,0,0,1
7,Hunk Anderson,4,1942-1945,36,23,11,2,.676,12,2,2,1,1,.500,2.0,1,1,0,0
8,Roy Andrews,8,1924-1931,82,51,27,4,.654,24,0,0,0,0,,5.9,2,0,0,0
9,Bruce Arians,8,2001-2011,0,0,0,0,,0,0,0,0,0,,1.9,1,0,0,0
10,John Armstrong,1,1924,9,5,2,2,.714,3,0,0,0,0,,5.0,5,0,0,0
11,Neill Armstrong,4,1978-1981,64,30,34,0,.469,-4,1,1,0,1,.000,3.0,1,0,0,0
12,Bill Arnsparger,17,1970-1994,35,7,28,0,.200,-21,0,0,0,0,,2.1,1,0,0,0
13,Dave Atkins,2,1994-1995,0,0,0,0,,0,0,0,0,0,,4.0,3,0,0,0
14,Bill Austin,4,1966-1970,56,17,36,3,.321,-19,0,0,0,0,,4.5,4,0,0,0
15,Joe Bach,4,1935-1953,48,21,27,0,.438,-6,0,0,0,0,,3.3,2,0,0,0
16,Bob Baker,4,1985-1988,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
17,Herman Ball,3,1949-1951,20,4,16,0,.200,-12,0,0,0,0,,4.3,3,0,0,0
18,Mark Banker,1,2001,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
19,Shorty Barr,1,1926,3,1,2,0,.333,-1,0,0,0,0,,16.0,16,0,0,0
20,Joe Barry,2,2007-2008,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
21,Norm Barry,2,1925-1926,26,16,8,2,.667,8,0,0,0,0,,5.5,1,1,0,0
22,Tom Bass,9,1969-1985,0,0,0,0,,0,0,0,0,0,,3.3,1,0,0,0
23,Jeremy Bates,1,2010,0,0,0,0,,0,0,0,0,0,,1.0,1,0,0,0
24,Jim Bates,7,1994-2005,7,3,4,0,.429,-1,0,0,0,0,,2.4,1,0,0,0
25,Dim Batterson,1,1927,5,0,5,0,.000,-5,0,0,0,0,,12.0,12,0,0,0
26,Cliff Battles+,2,1946-1947,21,4,16,1,.200,-12,0,0,0,0,,2.5,2,0,0,0
27,Sammy Baugh+,3,1960-1964,42,18,24,0,.429,-6,0,0,0,0,,3.0,2,0,0,0
28,John Becker,5,1987-1991,0,0,0,0,,0,0,0,0,0,,2.8,1,0,0,0
29,Bull Behman,3,1929-1931,40,13,20,7,.394,-7,0,0,0,0,,7.0,3,0,0,0
30,Larry Beightol,1,1989,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
